feature,coefficient
gestational_age_weeks,-1.3851274387116927
bmi,0.2255918262297588
age,-0.13850665090542172
height,0.20462778135359538
weight,-0.721597492673945
blood_draw_number,1.7692094481987615
raw_reads,-0.2925203050050089
gc_content,0.0008562947759238243
alignment_ratio,-0.40154963815046346
