,R2,Adj R2,AIC,BIC,N
Base Model,0.05192695313052187,0.04892355382681712,-3809.747928992335,-3790.317872742153,951.0
Interaction Model,0.05529581052587318,0.05029737566093062,-3809.1332050877118,-3779.9881207124395,951.0
Multi-factor Model,0.20210527996222183,0.19703391521621894,-3967.7525331646884,-3933.749934726871,951.0
