feature,importance
weight,0.1754554548875469
bmi,0.16631658512488692
raw_reads,0.11723403394243694
alignment_ratio,0.11049698517139708
gc_content,0.10610854997381491
height,0.10362488040136661
age,0.08160096138070769
gestational_age_weeks,0.07916892573280133
blood_draw_number,0.05999362338504161
