group,optimal_week,p_at_optimal,n_at_optimal
Q1,11.0,1.0,5
Q2,12.0,0.8666666666666667,15
Q3,11.1,0.8571428571428571,7
Q4,11.3,0.8888888888888888,9
Q5,11.3,1.0,3
